FileName,Score
questions_af.csv,0.37
questions_am.csv,0.39
questions_ar.csv,0.37
questions_as.csv,0.34
questions_az.csv,0.34
questions_ba.csv,0.29
questions_bg.csv,0.36
questions_bn.csv,0.35
questions_bo.csv,0.41
questions_bs.csv,0.39
questions_ca.csv,0.3
questions_cs.csv,0.39
questions_cy.csv,0.31
questions_da.csv,0.4
questions_de.csv,0.43
questions_dv.csv,0.52
questions_el.csv,0.37
questions_en.csv,0.55
questions_es.csv,0.45
questions_et.csv,0.43
questions_eu.csv,0.32
questions_fa.csv,0.38
questions_fi.csv,0.4
questions_fr.csv,0.44
questions_ga.csv,0.4
questions_gl.csv,0.37
questions_gu.csv,0.3
questions_ha.csv,0.29
questions_he.csv,0.41
questions_hi.csv,0.36
questions_hr.csv,0.34
questions_ht.csv,0.36
questions_hu.csv,0.34
questions_hy.csv,0.37
questions_id.csv,0.42
questions_ig.csv,0.3
questions_is.csv,0.26
questions_it.csv,0.4
questions_ja.csv,0.33
questions_ka.csv,0.51
questions_kk.csv,0.33
questions_km.csv,0.45
questions_kn.csv,0.4
questions_ko.csv,0.41
questions_ks.csv,0.39
questions_ku.csv,0.36
questions_ky.csv,0.34
questions_ln.csv,0.36
questions_lo.csv,0.4
questions_lt.csv,0.37
questions_lug.csv,0.39
questions_lv.csv,0.29
questions_mg.csv,0.33
questions_mi.csv,0.32
questions_mk.csv,0.36
questions_ml.csv,0.38
questions_mn.csv,0.27
questions_mr.csv,0.38
questions_ms.csv,0.4
questions_mt.csv,0.31
questions_my.csv,0.45
questions_nb.csv,0.34
questions_ne.csv,0.29
questions_nl.csv,0.41
questions_or.csv,0.47
questions_pa.csv,0.34
questions_pl.csv,0.36
questions_ps.csv,0.27
questions_pt.csv,0.4
questions_ro.csv,0.38
questions_ru.csv,0.34
questions_rw.csv,0.27
questions_sd.csv,0.4
questions_si.csv,0.3
questions_sk.csv,0.36
questions_sl.csv,0.33
questions_sm.csv,0.38
questions_so.csv,0.35
questions_sq.csv,0.32
questions_sr.csv,0.4
questions_st.csv,0.26
questions_sv.csv,0.5
questions_sw.csv,0.35
questions_ta.csv,0.29
questions_te.csv,0.33
questions_th.csv,0.33
questions_ti.csv,0.43
questions_tk.csv,0.37
questions_to.csv,0.41
questions_tr.csv,0.38
questions_tt.csv,0.32
questions_uk.csv,0.39
questions_ur.csv,0.34
questions_uz.csv,0.36
questions_vi.csv,0.35
questions_xh.csv,0.34
questions_yo.csv,0.43
questions_zh.csv,0.38
questions_zu.csv,0.3
